Country,City,Year,Month,Number_of_Tourists,Purpose_of_Visit,Average_Length_of_Stay,Tourist_Spending_USD,Hotel_Occupancy_Rate,Number_of_Hotels,Hotel_Rating,Average_Room_Price_USD,Tourism_Revenue_USD,Employment_in_Tourism,Contribution_to_GDP_Percent,Number_of_Flights,Airport_Passenger_Traffic,Transport_Infrastructure_Quality,Eco_Tourism_Revenue_USD,Carbon_Footprint_kg,Waste_Management_Rating,Tourist_Satisfaction_Score,Number_of_Online_Reviews
Australia,Melbourne,2024,3,127242,Leisure,4.9,3499.35,44.0,462,2-star,55.55,445264.29,10506,4.5,2895,140140,4.5,27957.05,32970613.2,5.6,7.4,9195
United States,Los Angeles,2024,11,93129,Religious,3.9,2775.64,43.1,94,4-star,298.98,258492.58,16279,11.8,4067,830296,6.0,74949.34,11126861.01,1.9,5.2,3596
United Arab Emirates,Abu Dhabi,2022,11,94439,Religious,8.8,2530.37,56.5,257,4-star,428.97,238965.61,41824,18.8,4036,469515,2.1,42927.88,18730934.65,4.2,9.9,9742
Germany,Frankfurt,2021,10,102413,Medical,7.0,2996.29,43.8,493,5-star,126.44,306859.05,23610,7.3,4706,498648,4.7,17184.49,23979864.92,2.6,5.5,8614
South Africa,Johannesburg,2021,10,175849,Business,9.8,3778.95,55.8,143,3-star,270.68,664524.58,45644,2.8,1641,468641,8.2,145787.69,56055658.37,5.3,9.6,594
Singapore,Singapore City,2023,1,145345,Educational,10.2,3413.56,82.2,358,3-star,359.28,496143.88,34709,16.8,1951,584231,4.6,75621.37,71406293.23,2.6,9.0,6319
Thailand,Bangkok,2021,3,78379,Cultural,7.5,3102.62,81.6,428,4-star,80.59,243180.25,10296,19.2,626,252210,5.1,53241.96,27232322.34,6.1,5.3,6783
Thailand,Bangkok,2020,9,70923,Family Visit,14.9,549.85,76.5,263,Unrated,445.82,38997.01,33756,19.8,2612,604629,4.2,8474.24,20817391.01,4.8,6.8,590
China,Shanghai,2021,10,53729,Medical,9.5,1226.56,63.6,456,Unrated,191.75,65901.84,40755,5.0,1181,595926,8.0,12585.49,10985698.53,7.3,7.8,8066
Japan,Osaka,2024,5,118116,Medical,11.6,3245.49,64.4,392,1-star,192.79,383344.3,17021,9.0,3972,779115,5.6,46785.69,12117017.63,5.5,6.4,2697
Germany,Berlin,2023,11,50901,Leisure,2.3,3131.73,87.1,422,1-star,262.24,159408.19,33311,1.6,1764,371395,4.7,28748.35,23344718.68,2.8,5.1,4703
Turkey,Antalya,2020,2,177466,Educational,9.6,1922.35,71.3,456,1-star,243.35,341151.77,12349,18.3,2164,171897,2.6,39982.78,31847663.39,3.2,6.5,8336
Brazil,Sao Paulo,2024,7,64175,Cultural,12.8,1297.97,76.2,59,5-star,283.13,83297.22,28283,12.0,3147,764483,4.2,16760.22,16363374.77,8.8,6.5,6397
South Africa,Cape Town,2021,6,108755,Medical,5.5,1997.51,67.9,118,2-star,256.33,217239.2,5787,16.3,1122,528977,8.3,11890.88,42889402.82,2.9,5.7,166
Japan,Osaka,2020,12,164159,Medical,6.2,757.03,46.9,316,1-star,149.29,124273.29,16772,1.5,1687,300231,4.7,17291.74,76283103.29,1.4,7.6,671
Singapore,Singapore City,2022,12,198246,Business,10.1,4116.9,44.2,206,1-star,186.52,816158.96,5178,17.8,1234,72616,2.4,107846.87,24143670.41,2.6,9.8,831
Greece,Athens,2024,11,182201,Family Visit,11.4,2151.33,47.4,124,Unrated,340.35,391974.48,30791,13.1,2350,559394,5.7,109901.16,77404641.12,8.4,9.0,1615
United Arab Emirates,Abu Dhabi,2021,1,147206,Educational,11.9,1144.23,72.9,149,1-star,219.5,168437.52,36186,16.0,1667,435134,3.4,42631.15,19572861.4,6.4,7.4,9588
Greece,Athens,2023,8,60785,Medical,5.6,4603.18,44.9,183,1-star,357.14,279804.3,6462,10.5,2878,360809,3.2,35398.54,7626931.44,2.6,5.0,7190
Egypt,Luxor,2020,6,165375,Medical,6.3,3480.41,77.6,377,2-star,442.06,575572.8,37479,15.9,2144,938704,6.4,40572.95,59325782.69,6.6,8.2,6480
Australia,Brisbane,2023,12,100906,Family Visit,4.8,896.68,49.7,172,4-star,426.4,90480.39,27388,13.1,3122,776499,6.2,11488.16,29351540.49,8.1,9.9,6246
Mexico,Mexico City,2020,3,170494,Family Visit,3.4,4274.84,73.6,302,2-star,464.99,728834.57,35480,6.8,4199,228838,6.5,92252.42,39289172.88,1.6,6.7,4757
South Africa,Cape Town,2022,7,171635,Business,5.0,3628.34,71.5,410,Unrated,109.53,622750.14,26991,8.5,2451,534607,1.1,115871.59,84154619.01,4.3,6.8,9180
Egypt,Cairo,2020,11,164012,Business,8.8,2482.99,84.0,464,5-star,104.85,407240.16,26029,2.2,4139,192429,4.7,63345.42,67905161.53,2.8,9.1,2781
Singapore,Singapore City,2023,1,151503,Medical,7.4,2561.13,52.8,179,5-star,468.87,388018.88,11054,7.1,3140,603958,8.6,44583.69,15249913.65,4.4,7.9,6952
Spain,Seville,2023,10,116985,Business,4.9,501.02,85.8,369,5-star,176.63,58611.82,40489,4.2,1945,879690,1.6,13539.76,55161139.71,4.9,5.6,3253
Japan,Tokyo,2020,3,73834,Educational,6.9,3295.99,75.9,154,4-star,387.22,243356.13,45635,19.9,3421,447783,1.4,36005.2,31081213.34,4.1,7.2,394
Canada,Toronto,2022,7,87052,Educational,8.6,4376.51,83.3,335,1-star,400.12,380983.95,46785,1.7,2618,384071,3.9,72618.34,18435709.16,8.0,9.4,8343
Germany,Munich,2024,8,81601,Family Visit,3.3,3678.67,57.3,300,Unrated,196.65,300183.15,12465,5.5,3238,946197,4.0,77111.32,8179616.96,3.8,6.2,4731
South Africa,Johannesburg,2020,10,94462,Educational,4.4,2426.7,43.1,365,4-star,237.83,229230.94,27813,9.3,3783,68557,5.4,30382.04,13481643.24,9.6,5.3,3930
Italy,Rome,2022,1,91081,Business,5.9,1941.81,48.2,159,1-star,462.11,176862.0,33610,13.1,2005,74354,7.8,10732.85,40609460.44,2.1,5.9,9188
Turkey,Antalya,2021,8,105514,Educational,11.6,1125.51,62.0,103,5-star,55.95,118757.06,7895,3.2,4183,154127,9.2,30271.91,48038048.83,2.8,6.4,6066
Australia,Sydney,2024,5,59196,Cultural,7.1,2950.5,48.0,196,3-star,365.42,174657.8,29700,9.5,3199,281237,6.9,26687.89,21626963.43,2.1,7.0,8181
China,Shanghai,2023,6,64380,Educational,4.4,4778.68,50.5,384,3-star,479.13,307651.42,11937,15.0,1047,650684,8.7,24290.85,24617785.0,5.5,9.1,5043
India,Delhi,2022,8,58997,Cultural,7.0,3988.56,57.1,128,2-star,332.85,235313.07,40228,3.8,3228,766438,7.7,60354.33,22337713.22,9.3,9.1,3744
Egypt,Cairo,2023,12,133123,Business,10.3,2101.81,47.4,275,1-star,359.96,279799.25,12099,3.5,2621,967106,3.1,34967.74,47540623.27,6.4,8.5,766
United Kingdom,Manchester,2024,11,132203,Cultural,4.7,2610.68,80.0,179,Unrated,220.2,345139.73,27641,17.8,4172,188454,4.7,23493.4,43668547.37,8.7,8.6,2323
Brazil,Sao Paulo,2022,1,136442,Religious,3.1,1409.67,67.3,415,Unrated,184.09,192338.19,36376,5.4,3701,284847,5.4,15543.21,30436340.13,9.3,5.8,2515
Australia,Sydney,2021,7,141229,Religious,4.7,3837.05,67.3,232,1-star,177.07,541902.73,30161,11.2,2821,522617,2.5,151257.13,32643004.39,4.3,8.8,9026
Japan,Osaka,2020,8,104675,Medical,9.6,3105.34,42.7,254,2-star,165.68,325051.46,45718,5.1,2794,87394,1.8,55858.83,39417090.33,3.4,8.1,5699
Australia,Sydney,2024,3,199172,Leisure,4.5,4627.49,67.7,466,5-star,243.89,921666.44,32454,14.8,1165,987314,9.9,228408.37,67828747.25,4.1,7.7,1312
France,Lyon,2022,10,106117,Cultural,7.1,730.69,60.1,193,3-star,252.66,77538.63,8228,9.8,3705,349155,2.7,18403.2,33774747.65,2.8,6.5,4733
United Arab Emirates,Dubai,2021,4,102344,Religious,8.3,1472.14,88.4,302,1-star,228.1,150664.7,39305,9.1,3857,514432,9.1,27309.84,39188701.18,3.3,7.2,7167
Singapore,Sentosa Island,2021,9,169779,Educational,2.7,599.39,57.9,254,Unrated,348.49,101763.83,20613,3.6,1799,432650,9.4,17614.36,64574811.01,8.7,7.1,2821
United Kingdom,London,2021,2,127355,Family Visit,10.4,807.98,84.9,327,5-star,98.67,102900.29,25659,16.5,3622,418615,5.3,27128.31,30056003.43,8.8,5.4,915
South Africa,Cape Town,2020,7,110038,Family Visit,13.0,1318.18,61.5,427,4-star,382.94,145049.89,31292,11.2,3842,764114,2.8,14930.92,12830313.08,3.9,7.8,8107
Brazil,Sao Paulo,2021,12,84409,Family Visit,10.7,2459.28,87.7,63,3-star,363.29,207585.37,5363,2.8,1045,446456,8.4,15640.51,35178001.9,8.3,7.4,9162
Egypt,Luxor,2024,5,175865,Medical,4.2,2208.82,70.9,181,Unrated,312.21,388454.13,37786,18.5,829,755377,2.7,51313.38,51859915.84,1.2,6.2,2667
Spain,Seville,2020,12,197193,Business,6.3,2836.91,49.9,261,5-star,165.87,559418.79,28331,2.6,2800,498013,8.7,132855.48,83224662.9,2.2,5.3,7098
Spain,Barcelona,2021,6,63440,Leisure,11.4,4263.87,83.1,135,4-star,201.35,270499.91,20734,1.8,2180,844865,1.6,35476.68,23415855.91,4.0,5.9,6300
Germany,Berlin,2020,5,98570,Leisure,12.2,3875.69,62.8,353,3-star,101.41,382026.76,22400,15.6,4365,861032,2.1,22583.61,11936588.55,8.5,5.6,2723
Canada,Toronto,2023,4,189718,Family Visit,7.7,4297.97,53.1,466,4-star,226.97,815402.27,25914,12.0,4997,699837,4.2,166590.68,86117397.64,3.1,7.0,8468
Germany,Berlin,2020,6,164826,Cultural,13.3,3040.88,65.8,62,1-star,365.39,501216.09,21195,17.1,1453,944230,3.4,46332.32,22788229.35,4.8,5.6,4252
Germany,Berlin,2023,1,146367,Medical,9.9,2958.83,52.5,334,4-star,149.14,433075.07,7663,11.6,1773,315470,1.9,23389.1,71057384.01,4.4,8.0,5192
Australia,Brisbane,2022,1,95337,Religious,13.1,2056.36,41.8,303,Unrated,394.86,196047.19,48790,17.7,3901,970396,3.4,25300.63,41756494.51,5.3,8.3,8546
France,Paris,2022,5,152127,Religious,4.0,2178.5,50.5,157,2-star,327.48,331408.67,25900,19.9,1508,201770,8.6,33638.45,73148482.08,4.1,9.9,4811
France,Marseille,2021,8,106116,Medical,6.1,539.5,59.1,305,3-star,448.36,57249.58,31331,10.6,4408,667397,6.7,11753.14,15736860.01,9.8,5.9,2765
Canada,Toronto,2021,6,133308,Medical,10.8,2135.32,86.9,373,5-star,332.83,284655.24,33742,14.3,1723,397236,9.4,28807.28,55882608.83,7.6,5.3,3766
Australia,Brisbane,2021,5,87045,Medical,5.7,1870.21,89.1,451,5-star,71.15,162792.43,34475,19.6,3519,53681,8.2,25824.21,38979923.39,2.6,9.7,8517
United Kingdom,London,2023,7,168888,Leisure,9.7,2701.52,46.7,483,Unrated,384.07,456254.31,41175,2.1,3640,829105,5.3,41977.68,40857201.86,4.6,5.3,8198
Canada,Montreal,2022,8,78333,Leisure,13.5,1182.84,69.9,343,5-star,408.05,92655.41,13624,6.4,1335,330790,1.1,20655.67,28555282.43,1.3,6.8,5387
United States,New York,2023,6,141186,Medical,8.7,4355.76,63.3,129,2-star,291.27,614972.33,10580,17.4,3991,443922,7.3,43543.59,62853726.95,5.3,5.3,1434
Thailand,Phuket,2020,11,137508,Educational,7.4,4449.87,50.2,392,Unrated,121.3,611892.72,49115,2.0,664,417508,3.6,102401.29,60935723.24,3.7,6.0,4257
Mexico,Mexico City,2023,6,77043,Business,5.9,4010.22,63.6,56,Unrated,54.29,308959.38,19017,7.5,3539,578425,4.0,19501.65,21579321.69,3.3,6.8,2838
Mexico,Puerto Vallarta,2024,4,73956,Medical,3.3,3742.06,54.1,134,3-star,394.64,276747.79,25528,1.4,4664,741257,2.2,46197.55,25319481.95,4.9,5.1,3655
South Africa,Cape Town,2020,1,115184,Religious,3.5,3242.78,68.4,92,4-star,290.99,373516.37,43265,5.8,761,797320,9.0,50034.05,39856877.82,9.3,9.8,9274
United States,Las Vegas,2023,5,184515,Cultural,7.9,1754.12,87.9,169,Unrated,262.51,323661.45,19254,6.4,4614,837839,7.4,63731.12,79016097.6,4.5,7.2,9468
United Kingdom,Manchester,2022,12,169020,Medical,8.6,1664.57,55.8,158,1-star,441.36,281345.62,29502,14.5,872,278300,4.1,69927.21,59171611.78,9.4,8.4,8994
United Kingdom,Manchester,2024,1,168313,Medical,14.5,2918.93,40.7,480,4-star,290.36,491293.87,36331,15.2,1257,626250,3.1,132970.58,23360414.58,1.5,5.6,7937
France,Marseille,2021,9,175212,Family Visit,5.0,2947.04,74.7,195,2-star,90.75,516356.77,22106,12.6,1028,218733,7.9,47822.71,44469913.9,4.1,7.2,1019
Singapore,Singapore City,2024,3,170507,Leisure,12.3,3094.2,57.1,125,1-star,367.47,527582.76,24156,5.3,2045,509822,2.3,50833.77,29467915.17,5.6,9.2,7294
Turkey,Antalya,2022,9,171361,Educational,10.5,4426.34,52.2,121,3-star,312.4,758502.05,26665,8.1,1925,328011,5.1,112728.46,76568219.97,3.2,9.8,2694
Singapore,Sentosa Island,2024,8,101588,Medical,8.7,3605.55,81.9,497,4-star,249.55,366280.61,23625,11.0,1673,782318,3.5,85752.99,12257907.04,1.4,6.9,9450
Spain,Madrid,2020,2,137736,Educational,2.6,4768.34,75.6,347,2-star,189.26,656772.08,26387,10.8,2564,677907,4.6,33283.26,60600892.23,4.4,7.5,809
Singapore,Singapore City,2020,2,164161,Family Visit,9.7,3828.12,50.5,93,5-star,359.24,628428.01,25805,17.0,2761,664229,9.6,42837.67,29489449.96,4.1,8.1,5595
Thailand,Chiang Mai,2021,9,78481,Medical,3.6,1803.78,51.9,183,Unrated,392.15,141562.46,31569,1.1,3270,734308,4.5,41635.52,37817368.14,8.2,6.2,9483
India,Mumbai,2024,1,91269,Religious,6.7,1705.07,61.6,373,Unrated,385.97,155620.03,38932,7.8,2267,541874,6.7,46411.47,37519499.0,3.0,5.9,2681
Spain,Barcelona,2020,10,125118,Medical,3.8,4379.95,80.8,445,Unrated,377.16,548010.58,19419,17.2,1536,322168,1.9,105352.73,39110848.13,5.1,7.0,4057
Germany,Munich,2022,6,184479,Leisure,9.4,509.34,53.0,267,4-star,310.69,93962.53,40654,4.3,2429,611001,7.4,15142.71,20446260.18,5.0,6.5,1193
Mexico,Cancun,2022,7,53880,Religious,3.6,3436.14,42.6,458,4-star,299.29,185139.22,48333,14.4,1593,231413,8.3,44792.8,7844192.8,6.8,9.2,8340
Turkey,Antalya,2021,9,96705,Family Visit,8.9,654.7,71.9,422,1-star,439.78,63312.76,49786,6.6,3197,997790,2.2,14113.1,40423136.27,2.5,5.5,262
Germany,Munich,2024,5,123313,Medical,13.4,2876.85,63.4,364,2-star,459.8,354753.0,18403,17.5,3207,385639,6.8,45740.38,42987835.37,3.0,7.2,9874
Italy,Florence,2021,7,155185,Religious,14.6,2542.67,65.3,196,4-star,381.16,394584.24,33853,13.1,2726,538195,5.2,97570.43,52942472.79,6.9,10.0,5422
Egypt,Cairo,2022,1,109412,Medical,7.3,2065.02,41.1,213,2-star,419.83,225937.97,42201,17.7,946,806322,5.9,25705.72,44547155.48,7.8,7.9,1174
China,Beijing,2020,6,193233,Business,12.7,3656.75,63.0,118,Unrated,436.25,706604.77,6211,15.9,3685,606107,4.6,199877.11,45466253.8,9.2,9.9,9297
Brazil,Sao Paulo,2023,7,121356,Cultural,11.7,3647.9,55.3,75,2-star,192.05,442694.55,35461,13.7,1780,905695,6.4,118387.13,55378730.48,5.0,7.3,248
Germany,Munich,2020,9,172689,Leisure,10.7,4195.67,52.2,407,4-star,427.48,724546.06,9551,5.6,3770,523919,4.0,82282.92,60859015.47,1.2,8.6,2411
United States,San Francisco,2023,10,99756,Religious,9.1,911.09,77.8,334,1-star,377.35,90886.69,17067,4.6,3433,157044,1.5,17900.1,43507509.12,1.2,5.2,4873
Italy,Rome,2020,3,193518,Leisure,12.7,1970.33,57.5,140,Unrated,173.4,381294.32,22948,15.0,3791,241303,7.7,83430.14,35288548.24,4.2,5.6,3985
Turkey,Antalya,2023,3,167569,Religious,10.8,4363.7,88.1,379,1-star,280.78,731220.85,42528,3.0,566,932693,6.2,149586.77,69136428.3,7.3,9.2,2351
Brazil,Sao Paulo,2023,11,149108,Medical,8.5,4776.38,55.0,498,3-star,191.37,712196.47,43784,1.6,4049,914360,2.5,162420.0,25401459.35,3.1,7.5,8189
China,Shanghai,2024,5,109902,Leisure,14.0,4892.39,51.1,65,4-star,389.17,537683.45,35962,5.4,1794,392776,4.2,138815.58,32680753.28,9.2,9.6,2541
Turkey,Istanbul,2021,11,67482,Religious,5.8,1826.68,57.7,264,Unrated,424.87,123268.02,33930,5.9,2596,323945,2.8,35356.35,12298499.69,6.5,6.1,8967
Canada,Toronto,2021,2,55147,Leisure,8.8,2610.77,43.6,335,4-star,91.86,143976.13,39808,11.9,2115,445065,5.6,11058.17,14856204.95,5.1,8.7,5895
South Africa,Cape Town,2024,12,158835,Family Visit,5.1,1242.2,46.2,451,3-star,291.77,197304.84,6044,5.1,2082,857733,2.5,31124.04,48318894.28,2.3,7.1,6804
Brazil,Rio de Janeiro,2021,9,105809,Educational,11.0,3534.32,89.0,148,3-star,151.82,373962.86,11073,5.6,2503,575825,2.0,91686.28,49103676.68,4.4,8.2,5610
United States,Miami,2020,6,139846,Family Visit,3.0,3080.44,44.9,81,Unrated,473.34,430787.21,35544,19.1,861,594392,6.6,72595.86,62969024.94,3.4,5.0,7381
China,Guangzhou,2022,11,98270,Leisure,6.1,4061.13,74.0,309,2-star,332.04,399087.25,43328,2.8,3802,771615,9.4,117711.14,43968074.67,2.6,5.2,9847
Japan,Kyoto,2021,8,152511,Cultural,15.0,1451.44,53.3,402,3-star,484.45,221360.57,42383,10.6,2424,65733,9.9,30122.08,19018877.32,7.6,7.6,2261
France,Lyon,2021,10,136489,Educational,6.9,897.79,57.1,111,2-star,238.52,122538.46,26059,8.9,1664,458294,9.9,31273.32,29016322.21,1.6,5.3,6819
Italy,Florence,2021,7,131899,Leisure,12.2,1596.69,55.3,118,Unrated,250.65,210601.81,5767,19.7,3954,617256,7.8,36857.1,19933201.78,6.2,6.5,9830
Egypt,Luxor,2021,2,121805,Religious,13.2,2051.46,59.5,354,1-star,448.97,249878.09,39800,14.6,3070,633526,9.2,22140.18,42718013.25,1.3,8.2,7966
Australia,Brisbane,2021,6,183085,Educational,4.7,3812.16,56.0,313,5-star,446.89,697949.31,40694,19.2,4876,190562,4.7,167919.84,28845126.36,1.1,5.1,2173
Australia,Brisbane,2022,3,99853,Educational,8.8,1398.33,77.5,237,5-star,373.13,139627.45,29530,17.7,866,386399,8.3,27521.66,18403431.11,3.1,8.1,7956
Greece,Athens,2020,2,80988,Cultural,2.4,2935.57,42.6,67,5-star,141.92,237745.94,13989,18.3,4288,220534,5.6,38128.74,12331966.0,3.6,9.3,777
Italy,Rome,2022,8,115641,Leisure,11.3,3138.06,64.6,379,2-star,86.76,362888.4,24641,18.4,2061,463606,9.4,75942.19,53133232.67,5.1,5.7,700
Spain,Seville,2021,10,175580,Leisure,8.0,1317.34,55.1,58,3-star,124.05,231298.56,30473,17.2,725,980866,9.4,18806.31,44390408.28,1.3,9.3,8995
Egypt,Luxor,2022,5,120246,Educational,6.0,4829.96,88.2,170,Unrated,372.9,580783.37,25608,13.8,2576,630305,1.9,102966.79,13211185.34,4.7,6.1,9721
Italy,Florence,2020,1,83123,Cultural,14.9,4102.41,82.3,192,5-star,235.01,341004.63,7024,1.4,2365,570112,9.7,46169.5,19567382.94,1.1,8.4,2006
Japan,Kyoto,2024,9,57961,Medical,14.7,3425.51,77.1,353,4-star,70.19,198545.99,20682,13.0,4485,362712,6.6,16579.83,8479927.22,8.6,5.7,3171
China,Guangzhou,2024,5,66939,Educational,8.3,4538.9,85.4,217,3-star,203.66,303829.43,18186,16.7,3819,199805,8.2,79765.31,14436073.7,9.6,5.2,5157
Canada,Montreal,2023,8,152302,Medical,9.5,3403.18,40.8,269,5-star,291.41,518311.12,29074,3.7,4571,943544,1.1,32331.29,51743604.62,4.1,9.8,440
Singapore,Sentosa Island,2020,3,175788,Religious,11.3,4181.66,73.4,74,4-star,276.45,735085.65,14241,10.2,3284,688464,2.6,197075.46,60690190.97,2.4,9.8,6575
China,Shanghai,2024,3,143789,Religious,2.9,3320.75,52.7,224,Unrated,103.75,477487.32,21251,19.6,1938,577831,7.6,127304.22,44337751.02,7.0,9.1,7127
Thailand,Phuket,2023,12,115867,Cultural,5.9,502.82,88.2,305,3-star,90.82,58260.24,5727,2.5,3743,415543,7.5,4386.5,40467145.48,4.2,8.9,9095
Australia,Melbourne,2024,6,144192,Family Visit,10.3,1560.57,75.7,329,Unrated,411.01,225021.71,25625,17.5,3661,374036,2.1,35302.64,23697106.98,7.3,8.8,8724
Germany,Frankfurt,2023,5,98928,Cultural,12.6,4712.73,65.7,235,5-star,291.06,466220.95,48795,12.1,3013,385510,4.0,29772.05,31822670.38,6.3,9.7,9846
Thailand,Bangkok,2021,5,144533,Cultural,12.3,2689.17,56.7,245,2-star,490.25,388673.81,25823,19.0,1358,514271,2.5,64196.55,32207025.12,1.3,6.6,1547
India,Delhi,2024,1,183922,Cultural,7.8,4844.83,58.9,322,2-star,133.0,891070.82,20493,9.7,2951,279016,2.9,202561.81,19948167.12,4.8,8.9,7834
Germany,Frankfurt,2020,6,120400,Family Visit,14.3,4626.85,69.2,286,2-star,433.64,557072.74,36225,17.6,1266,167369,4.9,54173.33,25611360.4,3.4,7.6,3613
Canada,Montreal,2024,10,194407,Business,14.3,4894.2,58.8,337,5-star,65.59,951466.74,32684,14.3,3055,924722,9.9,110619.26,71701928.69,1.5,5.6,3014
Brazil,Rio de Janeiro,2023,2,161850,Business,15.0,4110.23,79.3,149,Unrated,377.39,665240.73,21779,12.2,1438,175604,7.8,123013.29,21201289.98,1.2,5.5,8505
South Africa,Johannesburg,2021,9,163457,Leisure,3.5,4322.59,66.6,461,4-star,212.75,706557.59,13314,15.1,1662,913460,7.8,52152.59,18141802.29,4.6,10.0,9226
Thailand,Bangkok,2021,8,178411,Business,10.8,1412.93,77.3,64,5-star,111.23,252082.25,22493,10.4,871,695099,1.1,58604.3,81265961.92,1.6,7.3,4566
Canada,Vancouver,2023,12,127924,Cultural,10.4,1861.8,63.0,290,4-star,74.53,238168.9,45030,10.7,3265,355218,8.9,45947.48,29763199.22,7.5,7.5,5699
Australia,Brisbane,2022,4,199725,Family Visit,14.6,598.92,80.1,375,3-star,183.75,119619.3,32909,5.9,3403,762932,1.9,11932.36,99850456.14,1.0,8.2,3195
Spain,Barcelona,2024,1,197776,Religious,14.0,921.35,87.8,429,5-star,50.57,182220.92,47964,18.5,2663,490924,9.3,31145.69,44741161.58,8.1,8.4,2265
China,Shanghai,2023,10,167996,Cultural,11.0,1595.88,86.6,354,5-star,170.57,268101.46,36047,8.0,1805,235784,8.0,37641.94,44110275.69,8.3,6.9,9777
India,Delhi,2024,7,196161,Medical,14.4,816.82,57.7,458,5-star,310.35,160228.23,38988,11.5,4306,227129,9.7,14386.86,47404596.56,4.8,7.0,9210
Italy,Florence,2024,3,52413,Leisure,4.9,3781.45,65.0,164,1-star,323.02,198197.14,42679,4.6,1292,654019,1.8,37500.82,23939598.55,3.6,6.6,5293
Australia,Sydney,2020,7,51214,Business,7.1,667.5,85.9,172,3-star,426.33,34185.35,42792,17.8,2886,989805,5.7,3337.99,14586553.16,9.1,5.3,3945
United Kingdom,Manchester,2024,10,160186,Family Visit,6.4,4547.81,87.0,307,2-star,467.77,728495.49,21608,16.9,735,652294,8.0,149694.3,54898490.72,8.6,7.7,848
Thailand,Chiang Mai,2022,10,193250,Religious,8.6,781.0,59.2,89,4-star,113.73,150928.25,18072,9.2,4732,941255,7.7,43936.43,74816395.88,9.9,8.5,7590
India,Mumbai,2023,6,169547,Leisure,10.7,3659.71,58.6,327,4-star,402.32,620492.85,13998,10.2,1825,217973,6.1,109193.25,17871179.0,4.3,8.0,2018
South Africa,Johannesburg,2020,12,105568,Leisure,13.6,2677.32,76.4,270,2-star,174.89,282639.32,15683,4.7,904,526857,6.8,16202.26,36657557.55,5.6,7.7,6482
Australia,Brisbane,2022,1,108759,Medical,4.5,4778.35,60.4,61,4-star,442.17,519688.57,35936,14.6,4759,741750,4.8,38248.75,16344559.47,4.7,8.8,7520
United Kingdom,London,2022,8,157293,Educational,10.6,973.49,73.6,407,2-star,421.03,153123.16,37563,2.4,521,346412,9.8,30481.41,60383970.11,1.1,7.6,5214
Egypt,Cairo,2021,2,120198,Family Visit,12.1,2510.53,62.4,282,Unrated,463.84,301760.68,35028,13.8,844,691687,9.2,55946.2,42281988.49,3.3,9.0,1778
Italy,Venice,2023,8,156718,Business,8.5,770.49,85.8,406,1-star,202.27,120749.65,33615,12.5,1164,526492,7.5,23590.07,75084821.34,1.5,5.5,767
Italy,Florence,2023,6,88744,Cultural,10.4,4514.26,76.6,116,5-star,496.32,400613.49,47662,6.3,1097,82125,6.8,92869.06,31371149.09,2.3,7.2,5601
Italy,Venice,2020,2,56895,Religious,7.8,4634.36,62.0,113,1-star,447.1,263671.91,24932,12.1,1731,786786,5.7,14738.73,15105233.28,3.7,8.7,3983
Singapore,Singapore City,2023,7,135435,Educational,13.1,2282.25,50.0,475,5-star,448.66,309096.53,32750,15.5,723,611669,9.9,51408.74,16698476.25,3.4,7.2,1441
Australia,Sydney,2024,9,168724,Cultural,14.3,3950.82,53.4,395,2-star,131.39,666598.15,27942,18.9,1343,452932,8.0,127011.07,54174164.46,2.0,5.6,1075
Germany,Munich,2021,5,57213,Medical,11.3,1635.81,72.8,383,Unrated,317.87,93589.6,44601,20.0,2409,403383,4.9,11421.78,19542140.14,1.4,5.5,3161
United States,Las Vegas,2022,11,154470,Family Visit,13.8,1360.59,70.8,180,4-star,153.68,210170.34,28763,7.6,1567,857039,7.2,60360.42,32009099.61,8.3,5.3,3279
Brazil,Rio de Janeiro,2023,7,101514,Family Visit,14.3,3768.37,51.0,316,Unrated,341.38,382542.31,25968,14.6,3861,505651,5.7,30322.64,31598373.29,2.1,8.0,6742
Singapore,Singapore City,2023,12,119893,Business,3.5,1708.27,64.6,220,2-star,240.97,204809.62,26168,6.3,2272,471001,7.4,22437.38,30629052.75,5.0,9.5,8828
Egypt,Luxor,2023,8,146134,Medical,4.9,4012.12,50.1,274,4-star,492.52,586307.14,27538,1.7,534,87310,3.6,111342.2,30942132.05,4.1,9.6,4539
Italy,Rome,2024,3,100255,Business,13.4,637.06,44.5,177,3-star,333.75,63868.45,27401,5.0,3884,801690,7.6,13209.82,28941563.95,9.6,8.4,7048
South Africa,Johannesburg,2022,9,160160,Educational,11.5,3809.59,44.0,441,2-star,428.73,610143.93,44873,5.4,3262,769831,3.9,64131.91,75293662.91,8.8,7.5,458
Turkey,Antalya,2023,9,152081,Leisure,9.9,1348.25,80.2,214,2-star,201.38,205043.21,44709,10.4,4308,284622,7.0,22589.69,60443225.79,7.8,6.6,8228
Spain,Madrid,2023,4,100227,Religious,5.4,616.53,54.3,450,Unrated,73.82,61792.95,21988,6.4,1097,895308,2.7,12002.29,16230415.38,4.2,8.5,816
United States,San Francisco,2020,9,152390,Business,7.5,3029.5,40.3,319,1-star,126.24,461665.51,38837,14.4,1863,87276,4.3,88746.12,68984451.95,9.5,8.7,3373
Italy,Florence,2020,4,160545,Family Visit,7.7,2028.62,76.0,438,4-star,135.98,325684.8,11554,7.8,3890,962752,7.7,38456.49,23600233.17,3.3,9.6,500
